"data_id","work_type","work_price","company_area","company_id"
"615","家庭装修","1500","郑州","17180322"
"616","家庭装修","1500","郑州","17180322"
"617","家庭装修","5000","郑州","17180322"
"618","家庭装修","4000","郑州","17180322"
"619","家庭装修","6000","郑州","17180322"
"620","家庭装修","15000","郑州","17180322"
"621","家庭装修","5000","郑州","17180322"
"622","家庭装修","500","济南","17103213"
"623","家庭装修","1000","济南","17103213"
"624","家庭装修","1000","济南","17103213"
"625","家庭装修","1000","济南","17103213"
"626","VR/3D","100000","长沙","2912802"
"627","VR/3D","15000","重庆","14539087"
"628","VR/3D","150000","重庆","14539087"
"629","VR/3D","10000","成都","12507737"
"630","VR/3D","500","北京","11562919"
"631","VR/3D","4500","北京","11562919"
"632","VR/3D","3500","北京","11562919"
"633","VR/3D","299","北京","11562919"
"634","VR/3D","4500","北京","11562919"
"635","VR/3D","5000","北京","11562919"
"636","VR/3D","30000","北京","15971554"
"637","VR/3D","50000","上海","15359894"
"638","VR/3D","300000","上海","15359894"
"639","VR/3D","100000","上海","15359894"
"640","VR/3D","100000","上海","15359894"
"641","VR/3D","400000","上海","15359894"
"642","VR/3D","150000","上海","15359894"
"643","VR/3D","150000","上海","15359894"
"644","VR/3D","150000","上海","15359894"
"645","VR/3D","150000","上海","15359894"
"646","VR/3D","9999","上海","15359894"
"647","VR/3D","10000","上海","15359894"
"648","VR/3D","200000","上海","15359894"
"649","VR/3D","100000","北京","15971554"
"650","VR/3D","30000","北京","15971554"
"651","VR/3D","30000","北京","15971554"
"652","VR/3D","50000","北京","15971554"
"653","VR/3D","60000","北京","15971554"
"654","VR/3D","40000","北京","15971554"
"655","VR/3D","10000","北京","15971554"
"656","VR/3D","13000","北京","15971554"
"657","VR/3D","13000","北京","15971554"
"658","VR/3D","16000","北京","15971554"
"659","VR/3D","13000","北京","15971554"
"660","VR/3D","8000","北京","11562919"
"661","VR/3D","260","北京","11562919"
"662","VR/3D","3600","北京","11562919"
"663","VR/3D","1800","北京","11562919"
"664","VR/3D","3000","北京","11562919"
"665","VR/3D","1100","北京","11562919"
"666","VR/3D","10000","成都","12507737"
"667","VR/3D","10000","成都","12507737"
"668","VR/3D","10000","成都","12507737"
"669","VR/3D","10000","成都","12507737"
"670","VR/3D","120000","重庆","14539087"
"671","VR/3D","1516","重庆","14539087"
"672","VR/3D","9000","重庆","14539087"
"673","VR/3D","15000","重庆","14539087"
"674","VR/3D","120000","重庆","14539087"
"675","VR/3D","15000","长沙","2912802"
"676","VR/3D","20000","长沙","2912802"
"677","VR/3D","50000","长沙","2912802"
